Metric,Pre-Superstar Mean,Post-Superstar Mean,T-statistic,P-value,Significance,Player
Win Percentage,42.04545454545455,45.45454545454545,-0.4535126887588129,0.650744696140229,Not Significant,Lebron James
Plus/Minus,-1.7409090909090907,-1.6022727272727273,-0.0704762824828945,0.943895511556376,Not Significant,Lebron James
Team Points Made,107.4659090909091,111.8181818181818,-2.401357399368073,0.0173879224827104,Significant,Lebron James
Win Percentage,62.61682242990653,66.66666666666666,-0.6142333084366368,0.5397260286640744,Not Significant,Kyrie Irving
Plus/Minus,1.9158878504672896,3.306666666666667,-0.8193067568680616,0.4135402665523753,Not Significant,Kyrie Irving
Team Points Made,107.34579439252336,103.61904761904762,2.687456451705899,0.0077768242469521,Significant,Kyrie Irving
Win Percentage,51.68539325842697,58.24175824175825,-0.8809951305666635,0.3795084607159831,Not Significant,Donovan Mitchell
Plus/Minus,1.5191011235955054,4.316483516483516,-1.4547749298987684,0.1474927483283418,Not Significant,Donovan Mitchell
Team Points Made,107.3370786516854,110.96703296703296,-2.24370666777624,0.0260838473368694,Significant,Donovan Mitchell
Win Percentage,53.333333333333336,53.40909090909091,-0.009603834702287,0.9923492562791614,Not Significant,James Harden
Plus/Minus,0.68,2.8181818181818183,-1.0142987817328042,0.3119620711300936,Not Significant,James Harden
Team Points Made,98.62666666666668,105.54545454545456,-3.99208371293236,9.931429585343588e-05,Significant,James Harden
